127.0.0.1, 2019-07-08 11:02:17, GET, /, HTTP/1.1, 303, 0.003264
127.0.0.1, 2019-07-08 11:02:19, GET, /welcome/default/index, HTTP/1.1, 200, 1.800740
127.0.0.1, 2019-07-08 11:02:20, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.002493
127.0.0.1, 2019-07-08 11:02:20, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002658
127.0.0.1, 2019-07-08 11:02:20, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002977
127.0.0.1, 2019-07-08 11:02:20, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.003305
127.0.0.1, 2019-07-08 11:02:20, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.013448
127.0.0.1, 2019-07-08 11:02:20, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.013205
127.0.0.1, 2019-07-08 11:02:20, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.037699
127.0.0.1, 2019-07-08 11:02:20, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.002398
127.0.0.1, 2019-07-08 11:02:20, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.031542
127.0.0.1, 2019-07-08 11:02:21, GET, /welcome/static/images/favicon.png, HTTP/1.1, 200, 0.002007
127.0.0.1, 2019-07-08 11:02:21, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001935
127.0.0.1, 2019-07-08 11:02:23, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.002177
127.0.0.1, 2019-07-08 11:02:50, GET, /admin/default/index, HTTP/1.1, 200, 0.858345
127.0.0.1, 2019-07-08 11:02:50, GET, /admin/static/_2.18.5/js/jquery.js, HTTP/1.1, 200, 0.002627
127.0.0.1, 2019-07-08 11:02:50, GET, /admin/static/_2.18.5/css/calendar.css, HTTP/1.1, 200, 0.003180
127.0.0.1, 2019-07-08 11:02:50, GET, /admin/static/_2.18.5/js/calendar.js, HTTP/1.1, 200, 0.008218
127.0.0.1, 2019-07-08 11:02:50, GET, /admin/static/_2.18.5/js/web2py.js, HTTP/1.1, 200, 0.002111
127.0.0.1, 2019-07-08 11:02:50, GET, /admin/static/_2.18.5/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.002985
127.0.0.1, 2019-07-08 11:02:50, GET, /admin/static/_2.18.5/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.002321
127.0.0.1, 2019-07-08 11:02:50, GET, /admin/static/_2.18.5/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.009526
127.0.0.1, 2019-07-08 11:02:50, GET, /admin/static/_2.18.5/css/bootstrap.min.css, HTTP/1.1, 200, 0.002282
127.0.0.1, 2019-07-08 11:02:50, GET, /admin/static/_2.18.5/plugin_multiselect/start.js, HTTP/1.1, 200, 0.010794
127.0.0.1, 2019-07-08 11:02:50, GET, /admin/static/_2.18.5/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.005451
127.0.0.1, 2019-07-08 11:02:50, GET, /admin/static/_2.18.5/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.009071
127.0.0.1, 2019-07-08 11:02:50, GET, /admin/static/_2.18.5/js/bootstrap.min.js, HTTP/1.1, 200, 0.014606
127.0.0.1, 2019-07-08 11:02:50, GET, /admin/static/_2.18.5/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.035126
127.0.0.1, 2019-07-08 11:02:50, GET, /admin/static/_2.18.5/images/questions.png, HTTP/1.1, 200, 0.002774
127.0.0.1, 2019-07-08 11:02:51, GET, /favicon.ico, HTTP/1.1, 400, 0.001514
127.0.0.1, 2019-07-08 11:04:22, POST, /admin/default/index, HTTP/1.1, 200, 0.083427
127.0.0.1, 2019-07-08 11:04:37, POST, /admin/default/index, HTTP/1.1, 200, 0.075223
